name,artist,genre,bvid
光,陈粒,流行,0
空,徐海俏,民谣,0
该,曲肖冰,流行,0
谁,曲肖冰,流行,0
问,梁静茹,流行,0
落,唐伯虎Annie,古风,0
一个,陈壹千,甜歌,0
下潜,川青/Morerare,流行,0
东西,林俊呈,甜歌,0
中毒,光泽,流行,0
人质,张惠妹,流行,0
传奇,王菲,流行,0
体面,于文文,流行,0
侧脸,于果,流行,0
倒带,蔡依林,流行,0
借过,印子月,流行,0
偏爱,张芸京,流行,0
像鱼,王贰浪,流行,0
再见,邓紫棋,流行,0
冠玉,叶里,古风,BV1Np4y1V7bc
冬眠,司南,古风,0
勇气,梁静茹,流行,0
勇气,棉子,流行,0
原谅,张玉华,流行,0
叙世,Aki阿杰&清弄,戏腔,0
古怪,林小珂,流行,0
可能,李怡然,流行,0
后来,刘若英,流行,0
唯一,告五人,EMO,0
夏天,李玖哲,流行,0
夜车,曾轶可,甜歌,BV1p5411q7UM
大眠,王心凌,流行,0
大雪,音阙诗听,古风,0
太阳,曲肖冰,EMO,0
失忆,吕口口,流行,0
奔赴,司南,流行,0
她说,林俊杰,流行,0
宝贝,张悬,民谣,0
小小,容祖儿,流行,0
山眠,御鹿神谷/江苹果,流行,0
年轮,汪苏泷,流行,0
怀乡,二晗,流行,0
情歌,梁静茹,流行,0
慢冷,梁静茹,流行,0
慢慢,刘梦妤,流行,0
拜拜,陈粒,流行,0
探窗,汐音社,戏腔,BV1GV411w74Z
春泥,庾澄庆,流行,BV1BZ421W7wS
暗恋,张靓颖,流行,0
来过,胡夏,流行,0
渐冷,雪二,流行,0
温泉,许嵩,甜歌,0
游京,海伦,戏腔,0
演员,薛之谦,流行,0
火苗,格格,流行,0
烟雨,Gifty,EMO,0
理查,群星,流行,0
琴师,音频怪物,EMO,0
白鸽,你的上好佳,EMO,0
省略,唐伯虎Annie,流行,0
秋酿,CCLAIRE,民谣,0
稻香,周杰伦,流行,0
空心,光泽,流行,0
空空,陈粒,流行,0
红豆,王菲,流行,0
艳火,张悬,民谣,0
草木,余半声,古风,0
落海,任然,流行,0
落空,印子月,流行,0
虚拟,陈粒,流行,0
说谎,林宥嘉,流行,0
谪仙,伊格赛听,古风,0
走马,陈粒,民谣,0
过活,高鱼,流行,0
过火,张信哲,流行,0
遇见,孙燕姿,流行,0
针灸,曲肖冰,EMO,0
难却,平生不晚,戏腔,0
雨爱,杨丞琳,流行,0
雪藏,呆呆破,EMO,0
温泉,许嵩/刘美麟,甜歌,0
雾里,姚六一,流行,0
归来兮,庆庆,古风,0
一袖云,刘珂矣,古风,0
丁香花,唐磊,流行,0
七月上,Jam,民谣,0
下雨天,南拳妈妈,EMO,0
云与海,阿YueYue,古风,0
从前说,小阿七,流行,0
他不懂,张杰,流行,0
伤不起,王麟,流行,0
全是爱,凤凰传奇,流行,0
典狱司,音频怪物,古风,0
别错过,程jiajia,流行,0
到不了,范玮琪,流行,0
叹郁孤,等什么君,古风,0
向云端,小霞/海洋bo,流行,0
听说你,于冬然,EMO,0
四万秋,池绛不吃姜,古风,0
在深秋,阿悄,流行,0
声声慢,崔开潮,流行,BV1Wp4y137Zw
外婆桥,旺仔小乔,流行,0
外婆说,程jiajia,说唱,0
多情种,胡杨林,民谣,BV12w411272C
大天蓬,李袁杰,古风,0
女儿情,吴静,老歌,0
小幸运,田馥甄,流行,0
小情歌,苏打绿,流行,0
带我走,杨丞琳,流行,0
忘尘谷,刘珂矣,古风,0
怎么了,周兴哲,流行,0
恋人心,魏新雨,流行,0
想某人,王优秀,流行,0
我太笨,锤娜丽莎,流行,0
我要你,任素汐,民谣,BV1oj411k7hc
我走后,小咪,EMO,0
故长安,张靓颖,流行,BV1Uw4m1S7jL
日不落,蔡依林,流行,0
明明就,周杰伦,流行,0
春不晚,李常超,古风,0
春风吹,方大同,流行,0
月亮船,王英姿,流行,0
有点甜,汪苏泷,流行,0
桃花运,杨钰莹,流行,0
水星记,郭顶,EMO,0
牵丝戏,银临 Aki阿杰,戏腔,0
王招君,任素汐,民谣,0
球球泪,韩宝仪,EMO,0
百利甜,魏晗,流行,0
简单爱,周杰伦,甜歌,0
红昭愿,音阙诗听,古风,0
红玫瑰,陈奕迅,流行,0
胡广生,任素汐,民谣,0
芙蓉雨,刘珂矣,古风,0
苏公堤,杨一歌,古风,0
若把你,刘瑾睿,流行,0
虞兮叹,闻人听書,戏腔,0
虫儿飞,郑伊健,民谣,0
讲真的,曾惜,流行,0
达尔文,蔡健雅,流行,0
迷迭香,周杰伦,流行,0
追光者,岑宁儿,流行,0
醉清风,弦子,流行,0
阿婆说,暗杠,民谣,0
难生恨,DAWN,古风,0
青花瓷,周杰伦,流行,0
静悄悄,陈泫孝,流行,0
风筝误,刘珂矣,流行,0
黑桃A,DJ小鱼儿,流行,0
Melody,陶喆,流行,0
New Boy,朴树,流行,0
一笑江湖,聞人聽書_,戏腔,0
一路生花,温奕心,流行,0
不再联系,夏天Alex,流行,0
不负人间,阿YueYue,古风,0
不问别离,指尖笑,古风,0
修炼爱情,林俊杰,流行,0
光年之外,邓紫棋,流行,0
